0,0
0.05,3.32427378114695
0.1,6.71643861008877
0.15,10.0394725145633
0.2,13.1563535223083
0.25,15.9300596610617
0.3,18.2235689585612
0.35,19.8998594425447
0.4,21.127571778689
0.45,22.2678100966929
0.5,23.3278282628045
0.55,24.3128670039404
0.6,25.2281670470169
0.65,26.0789691189508
0.7,26.8705139466586
0.75,27.6080422570568
0.8,28.2967947770619
0.85,28.9420122335906
0.9,29.5489353535593
0.95,30.1228048638846
1,30.6688614914831
1.05,31.1923459632713
1.1,31.6984990061658
1.15,32.1925613470831
1.2,32.6797737129397
1.25,33.1653768306522
1.3,33.6546114271373
1.35,34.1527182293113
1.4,34.6649379640908
1.45,35.1965113583925
1.5,35.7526791391328
1.55,36.3386820332284
1.6,36.9597607675957
1.65,37.6211560691513
1.7,38.3281086648117
1.75,39.0858592814936
1.8,39.8996486461134
1.85,40.737232047907
1.9,41.5480375700501
1.95,42.3408508240941
2,43.1251440961988
2.05,43.9103896725242
2.1,44.7060598392303
2.15,45.5216268824769
2.2,46.366563088424
2.25,47.2503407432316
2.3,48.1824321330597
2.35,49.172309544068
2.4,50.2294452624167
2.45,51.3633115742657
2.5,52.5833807657748
2.55,53.8991251231041
2.6,55.3200169324135
2.65,56.855528479863
2.7,58.5151320516124
2.75,60.3088793404027
2.8,62.333284674741
2.85,64.8476226691258
2.9,68.1274636512555
2.95,72.4483779488281
3,78.0859358895422
3.05,89.7340130696034
